date,Tsunami Event ID,Tsunami Event Validity,Earthquake Magnitude,Country,Location Name,Latitude,Longitude,Distance From Source (km),Max Water Height (m),Flag Earthquake
1986-05-07,2164,4,8.0,USA,WASHINGTON COAST,,,,0.46,Yes
1992-09-02,2213,4,7.6,NICARAGUA,EL VELERO,,,,6.0,Yes
1992-09-02,2213,4,7.6,MEXICO,LA LIBERDAD,,,,0.08,Yes
1992-12-12,2214,4,7.8,INDONESIA,ENDE,,,,0.5,Yes
1992-12-12,2214,4,7.8,INDONESIA,PALU I. MAGE 1,,,,2.84,Yes
1992-12-12,2214,4,7.8,INDONESIA,PALU I. MAGE 2,,,,2.52,Yes
1992-12-12,2214,4,7.8,INDONESIA,POMONA B.I. NGOLO-1,,,,2.68,Yes
1992-12-12,2214,4,7.8,INDONESIA,POMONA B.I. NGOLO-2,,,,3.18,Yes
1992-12-12,2214,4,7.8,INDONESIA,POMONA B.I. BUTON,,,,1.52,Yes
1992-12-12,2214,4,7.8,INDONESIA,NEBE-3,,,,4.16,Yes
1992-12-12,2214,4,7.8,INDONESIA,NEBE-5,,,,3.6,Yes
1992-12-12,2214,4,7.8,INDONESIA,NEBE-6,,,,3.02,Yes
1992-12-12,2214,4,7.8,INDONESIA,PANTAI LATO-2,,,,3.48,Yes
1992-12-12,2214,4,7.8,INDONESIA,PANTAI LATO-3,,,,3.76,Yes
1992-12-12,2214,4,7.8,INDONESIA,PANTAI LATO-4,,,,3.57,Yes
1992-12-12,2214,4,7.8,INDONESIA,PANTAI LATO-6,,,,3.61,Yes
1992-12-12,2214,4,7.8,INDONESIA,PANTAI LATO-7,,,,3.5,Yes
1992-12-12,2214,4,7.8,INDONESIA,WAIBALAN 2,,,,10.58,Yes
1992-12-12,2214,4,7.8,INDONESIA,RIANG-KROKO 1,,,,18.36,Yes
1992-12-12,2214,4,7.8,INDONESIA,RIANG-KROKO 2,,,,17.25,Yes
1993-07-12,2219,4,7.7,RUSSIA,PRIMORYE REGION,,,,6.0,Yes
1993-07-12,2219,4,7.7,RUSSIA,BELKIN,,,,0.6,Yes
1993-07-12,2219,4,7.7,RUSSIA,ZERKALNAYA,,,,2.34,Yes
1997-04-21,2273,4,7.7,SOLOMON ISLANDS,SOLOMON ISLANDS,,,,3.0,Yes
1997-12-05,2277,4,7.8,JAPAN,CHIKEILT,,,,0.1,Yes
1997-12-05,2277,4,7.8,RUSSIA,"STOROKH R., KAMCHATKA",,,,5.0,Yes
1999-11-26,2339,4,7.5,TAIWAN,TAIPEI COUNTY,,,,0.19,Yes
2002-03-05,2394,4,7.5,PHILIPPINES,MAITUM,,,,3.0,Yes
2002-03-31,2396,4,7.1,TAIWAN,MIAO-LI,,,,0.2,Yes
2002-03-31,2396,4,7.1,TAIWAN,NANTOU,,,,0.2,Yes
2002-03-31,2396,4,7.1,TAIWAN,CHIAI,,,,0.2,Yes
2002-03-31,2396,4,7.1,TAIWAN,TAITUNG COUNT,,,,0.2,Yes
2004-12-26,2439,4,9.1,INDONESIA,ALL OF INDONESIA,,,,50.9,Yes
2004-12-26,2439,4,9.1,INDIA,ALL OF INDIA,,,,17.3,Yes
2004-12-26,2439,4,9.1,MALDIVES,ALL OF MALDIVES,,,,4.43,Yes
2004-12-26,2439,4,9.1,SEYCHELLES,ALL OF SEYCHELLES,,,,4.4,Yes
2004-12-26,2439,4,9.1,SOMALIA,ALL OF SOMALIA,,,,9.52,Yes
2004-12-26,2439,4,9.1,SRI LANKA,ALL OF SRI LANKA,,,,12.5,Yes
2004-12-26,2439,4,9.1,THAILAND,ALL OF THAILAND,,,,19.6,Yes
2004-12-26,2439,4,9.1,MALAYSIA,ALL OF MALAYSIA,,,,4.0,Yes
2004-12-26,2439,4,9.1,MYANMAR (BURMA),ALL OF MYANMAR (BURMA),,,,2.9,Yes
2004-12-26,2439,4,9.1,TANZANIA,ALL OF TANZANIA,,,,3.5,Yes
2004-12-26,2439,4,9.1,KENYA,ALL OF KENYA,,,,3.0,Yes
2004-12-26,2439,4,9.1,YEMEN,ALL OF YEMEN,,,,6.11,Yes
2004-12-26,2439,4,9.1,SOUTH AFRICA,ALL OF SOUTH AFRICA,,,,1.5,Yes
2004-12-26,2439,4,9.1,YEMEN,"RAS ARSAL, SOCOTRA ISLAND",,,,2.0,Yes
2004-12-26,2439,4,9.1,SEYCHELLES,"ANSE ROYALE NORTH, MAHE ISLAND",,,,3.8,Yes
2004-12-26,2439,4,9.1,MADAGASCAR,ALL OF MADAGASCAR,,,,5.4,Yes
2011-03-11,5413,4,9.1,JAPAN,SHIRAHAMA BEACH,,,,9.3,Yes
2011-03-11,5413,4,9.1,JAPAN,OOJYA,,,,8.4,Yes
2011-03-11,5413,4,9.1,JAPAN,KUKI PORT,,,,18.6,Yes
2011-03-11,5413,4,9.1,JAPAN,"TAROU DISTRICT, MIYAKO CITY",,,,25.5,Yes
2011-03-11,5413,4,9.1,JAPAN,"AKAUSHI, MOTOYOSHI",,,,22.2,Yes
2011-03-11,5413,4,9.1,JAPAN,OGACHI-MACHI,,,,16.0,Yes
2011-03-11,5413,4,9.1,JAPAN,TORINOUMI-KOUEN,,,,8.0,Yes
2011-03-11,5413,4,9.1,JAPAN,HIRAISO BEACH,,,,3.5,Yes
2011-03-11,5413,4,9.1,JAPAN,YASASHIGAWA,,,,7.6,Yes
2011-03-11,5413,4,9.1,JAPAN,TAITOU,,,,4.2,Yes
2011-03-11,5413,4,9.1,TAIWAN,TAIWAN,,,,0.1,Yes
2011-03-11,5413,4,9.1,CANADA,"AARON POINT, BRITISH COLUMBIA",,,,0.48,Yes
2017-04-28,5648,4,6.9,PHILIPPINES,SARANGANI,,,,0.2,Yes
2018-08-05,5685,4,6.9,INDONESIA,BADAS,,,,0.1,Yes
2018-08-05,5685,4,6.9,INDONESIA,CARIK,,,,0.14,Yes
2018-09-28,5689,4,7.5,INDONESIA,ALL OF CENTRAL SULAWESI,,,,10.73,Yes
2022-01-15,5824,4,,JAPAN,ALL OF JAPAN,,,,1.34,No
2022-01-15,5824,4,,TONGA,ALL OF TONGA,,,,22.0,No
